# colloquial surface -> English canonical, for `indicator build-lexicon --aliases`.
# Generated by fine-tuning/tool_aliases.py from the benchmark indicator sheets;
# edit those, or add curated rows below the generated block, and regenerate.
# 2,229 pairs over 2,193 surfaces, from 3,370 sheet rows.
%BC	% B Cell
%CTNKC	% Cytotoxic NK cells
%Lym	% Lymphocyte
%NKC	% NK Cell
%NKT	% NKT
%RTC	% Regulatory T Cell
%TC	% T Cell
%TCT(CD8)C	% Cytotoxic (CD8) T Cell
%TTH(CD4)C	% T-Helper (CD4) Cell
%TTH17C	% T-Helper-17
%TTH1C	% T-Helper-1 Cell
%TTH2C	% T-Helper-2 Cell
%ω-3	%Omega-3s
CRMP-5-IgG	Collapsin Response Mediator Protein 5 Immunoglobulin G Antibody
CRMP5-IgG	Anti-CRMP5 IgG Antibody
CRP	C-Reactive Protein
CYFRA21 - 1	Cytokeratin 19 Fragment
CYP450	Cytochrome P450 (Hepatocyte)
Ca	Collinsella aerofaciens
CagA	Cytotoxin
Car	Carnitine
Cbl	Cerebellar
Ccr	Endogenous Creatinine Clearance Rate
Cd	Cadmium
Cho	Choline
CoQ10	Coenzyme Q10
Col IV	Collagen Type IV
Cp	Ceruloplasmin
Cr	Chromium
Crypto. spp	Cryptosporidium spp.
Cu	Copper
Cys. spp	Cystoisospora spp.
C反应蛋白	C-Reactive Protein
C肽	C-peptide
D-Dimer SQ	D-dimer semi-quantitative determination
D-LDL	Direct Low-Density Lipoprotein
D-二聚体	D-Dimer
D-二聚体半定量	D-dimer semi-quantitative determination
D-二聚体，酶联免疫吸附测定	Enzyme-Linked Immunosorbent Assay for D-Dimer
D. caninum	Dipylidium caninum
D. frag	Dientamoeba fragilis
D. latum	Diphyllobothrium latum
D. piger	Desulfovibrio piger
DA	Dopamine
DBIL	Direct Bilirubin
DENV IgG	Dengue virus IgG antibody
DENV IgM	Dengue virus IgM antibody
DENV NS1	Dengue virus non - structural protein 1 antigen (NS1 antigen)
DGLA	Dihomo-γ-linolenic 20:3 n6
DGP-IgA	Anti-Deamidated Gliadin Peptide IgA Antibodies
DHEAS	Dehydroepiandrosterone sulfate
DR-70	Human fibrinogen degradation product
DTA	Docosatetraenoic 22:4 n6
D抗原	Rh D Antigen
E. aerogenes	Enterobacter aerogenes
E. coli	Entamoeba coli
E. coli	Escherichia coli
E. faecalis	Enterococcus faecalis
E. hart	Entamoeba hartmanii
E. hist	Entamoeba histolytica
E. hist./dispar	Entamoeba histolytica/dispar
E. histolytica	Entamoeba histolytica
E. nana	Endolimax nana
E. polecki	Entamoeba polecki
E. verm	Enterobius vermicularis
E1	Estrone
E2	Estradiol
EA	Elaidic 18:1 n9t
EA-IgA	Epstein-Barr virus early antigen IgA antibody-EBV
EBV-DNA	Epstein-Barr Virus DNA
EB病毒早期抗原IgA	Early Antigen (EA) IgA
EB病毒早期抗原IgA抗体	Epstein-Barr virus early antigen IgA antibody-EBV
EB病毒衣壳抗原(VCA)IgG抗体	EBV VIRAL CAPSID AG (VCA) AB(IGG)
EB病毒衣壳抗原(VCA)IgM抗体	EBV VIRAL CAPSID AG (VCA) AB(IGM)
EDA	Eicosadienoic 20:2 n6
EMA	Endomysial Antibodies
EOS%	Eosinophil Percentage
EPX	Eosinophil Protein X (EPX)†
ESR-K	Erythrocyte Sedimentation Rate Equation K value
ETrA	Eicosatrienoic Acid
Eos#	Eosinophil Absolute Value
Ep	epinephrine
F-sIgA	Fecal secretory IgA
F. prausnitzii	Faecalibacterium prausnitzii
FA&GA - IgG+IgA	Formaldehyde and Glutaraldehyde IgG+IgA
FA&GA - IgM	Formaldehyde and Glutaraldehyde IgM
FC	Free Carnitine
FEP	Free Erythrocyte Protoporphyrin
FF	Fecal Fat(total)
FFA	Free Fatty Acids
FII	Coagulation Factor II
FIO2	Fraction of Inspired Oxygen
FIT	Fecal Immunochemical Test
FIX	Coagulation Factor IX
FOB	Fecal Occult Blood
FOB	fecal occult blood test
FPG	Fasting Plasma Glucose
FPSA/PSA	Free Prostate - Specific Antigen/Prostate - Specific Antigen
FS	Fructose Sensitivity
FSH	Follicle-Stimulating Hormone
FT3	Free Triiodothyronine
FT4	Free Thyroxine
FV	Coagulation Factor V
FVIII	Coagulation Factor VIII
FX	Coagulation Factor X
FXI	Coagulation Factor XI
FXII	Coagulation Factor XII
Fasciola spp./F. buski	Fasciola spp./ Fasciolopsis buski
Fe	Iron
Fib	Fibulin
G - TG - IgA	Gliadin-Transglutaminase Complex IgA
G - TG - IgG	Gliadin-Transglutaminase Complex IgG
G-17	gastrin-17
G6PD	Glucose-6-Phosphate Dehydrogenase Screening
GA	Glycated Albumin
GABA	γ-Aminobutyric Acid
GAD Ab	Glutamic Acid Decarboxylase Autoantibody
GAD65	Glutamic acid decarboxylase 65 antibodies
GADA	glutamic acid decarboxylase antibody
GC	Glycocholic Acid
GFR	Glomerular Filtration Rate
GGT	Gamma-glutamyl transferase
GII	Glucose-Insulin Interaction
GLA	γ-Linolenic 18:3 n6
GLDH	Glutamate Dehydrogenase
GM + PD - IgA	Gluteomorphin + Prodynorphin IgA
GM + PD - IgG	Gluteomorphin + Prodynorphin IgG
GR	Glutathione reductase
GSH	Glutathione
GTP - IgA	Gliadin Toxic Peptides IgA
GTP - IgG	Gliadin Toxic Peptides IgG
Gia	Giardia
Gln21 - IgA	Glutenin 21-mer IgA
Gln21 - IgG	Glutenin 21-mer IgG
Glu (0.5h)	Glucose-30min
Glu (1h)	Glucose-1hour
Glu (3h)	Glucose-3hour
H. dim	Hymenolepis diminuta
H. nana	Hymenolepis nana
H. pylori	Helicobacter pylori
H. pylori	HpSA - H. pylori
H./M	Heterophyes/Metagonimus
H2O2	Hydrogen Peroxide
HA	Hyaluronic Acid
HAV IgG	Hepatitis A Virus IgG Antibody
HAV IgM	Hepatitis A Virus IgM Antibody
HAV-Ab	Hepatitis A virus antibody
HAV-RNA	Hepatitis A Virus RNA
HBcAb	Hepatitis B Core Antibody
HBeAb	Hepatitis B e Antibody
HBeAg	Hepatitis B e Antigen
HBsAb	Anti-HBs count
HBsAg	Hepatitis B Surface Antigen
HCO3-	Bicarbonate
HCT	Hematocrit
HCV Ab	Hepatitis C Virus Antibodies
HCV-RNA	Hepatitis C Virus RNA
HDL-C	High-Density Lipoprotein Cholesterol
HE4	Human Epididymis Protein 4
HEV-IgM	Hepatitis E Virus Antibody IgM
HIV Ab	Human Immunodeficiency Virus (HIV) Antibody
HIV-1/2 抗体	Human Immunodeficiency Virus Types 1 and 2 Antibody
HLA - DQ2	Human Leukocyte Antigen-DQ2
HLA-DQ8	Human Leukocyte Antigen-DQ8
HPV-11	Human Papillomavirus Type 11
HPV-16	Human Papillomavirus type 16
HPV-18	Human Papillomavirus Type 18
HPV-23	Human Papillomavirus type 23
HPV-31	Human Papillomavirus type 31
HPV-33	Human Papillomavirus Type 33
HPV-35	Human Papillomavirus Type 35
HPV-39	Human Papillomavirus Type 39
HPV-42	Human Papillomavirus Type 42
HPV-43	Human Papillomavirus Type 43
HPV-44	Human Papillomavirus Type 44
HPV-46	Human Papillomavirus type 46
HPV-51	Human Papillomavirus Type 51
HPV-52	Human Papillomavirus Type 52
HPV-56	Human Papillomavirus Type 56
HPV-58	Human Papillomavirus Type 58
HPV-59	Human Papillomavirus Type 59
HPV-6	Human Papillomavirus Type 6
HPV-66	Human Papillomavirus Type 66
HPV-68	Human Papillomavirus type 68
HPV-8	Human Papillomavirus Type 8
HPV-82	Human Papillomavirus Type 82
HPV-83	Human Papillomavirus Type 83
HPⅠ/Ⅱ型分型	Helicobacter pylori Type I/II Classification
HW	Ancylostoma/Necator (Hookworm)
Hb	Hemoglobin
Hb/HGB	Hemoglobin
HbA1c	Glycated Hemoglobin
Hct	Hematocrit
Hcy	Homocysteine
Hg	Mercury
Hg-C-IgG+IgA	Mercury Compounds IgG+IgA
Hg-C-IgM	Mercury Compounds IgM
Hp-Ab	Helicobacter pylori antibody
Hp-IgG	Helicobacter pylori antibody IgG
HpAg	Helicobacter pylori Antigen
Hu	Anti - neuronal nuclear antibody type 1
I. buetschlii	Iodamoeba buetschlii
IA - 2 Ab	IA-2 Autoantibody
IA-2A	protein tyrosine phosphatase antibody
IAA	insulin autoantibody
IC - IgG+IgA	Isocyanate IgG+IgA
IC - IgM	Isocyanate IgM
ICA	islet cellular antibody
IF	Intrinsic Factor
IFN-α	Interferon-alpha
IFN-γ	Interferon-Gamma
IG#	Immunogranular Cell Absolute Value
IG%	Immature Granulocyte Percentage
IGF-1	Insulin-like Growth Factor 1
IL-10	Interleukin-10
IL-12p70	Interleukin-12p70
IL-17	Interleukin-17
IL-1β	Interleukin-1Beta
IL-2	Interleukin-2
IL-4	Interleukin-4
IL-5	Interleukin-5
IL-6	Interleukin-6
IL-8	Interleukin-8
INR	International Normalized Ratio
IUR	Iron Utilization Rate
IgA-ACA	IgA anti-cardiolipin antibody
IgD	Immunoglobulin D
IgE	Immunoglobulin E
IgG-ACA	IgG anti-cardiolipin antibody
IgG/成纤维细胞生长因子受体3	IgG vs FGFR3
IgG/硫酸脑苷脂	IgG vs Sulfatide
IgG1	IgG Subclass1
IgG2	IgG Subclass2
IgG3	IgG Subclass3
IgM-ACA	IgM anti-cardiolipin antibody
Ins	Inositol
I型前胶原氨基端前肽	N-terminal peptide of type I procollagen
Jo-1	Histidyl-tRNA Synthetase Antibodies
Jo-1-Ab	Anti-Jo-1 antibody
Jo-1抗体	Histidyl-tRNA Synthetase Antibodies
K+	Potassium
L. spp.	Lactobacillus spp.
LA	Linoleic 18:2n6
LA/DGLA	Linoleic / DGLA 18:2 n6 / 20:3 n6
LCFA	Long-Chain Fatty Acids
LDL-C	Low-Density Lipoprotein Calculated
LGI1-Ab	Anti-leucine-rich glioma-inactivated 1 protein antibody
LH	Luteinizing Hormone
LHRH	Luteinizing Hormone-Releasing Hormone
LPS - IgA	Lipopolysaccharides (LPS) IgA
LPS - IgG	Lipopolysaccharides (LPS) IgG
LPS - IgM	Lipopolysaccharides (LPS) IgM
LYM%	Lymphocytes Percentage
Lp(a)	Lipoprotein(a)
Lp-PLA2	Lipoprotein-Associated Phospholipase A2
Lymph#	Lymphocyte Absolute Value
M. tuberculosis	Mycobacterium tuberculosis
MCH	Mean Corpuscular Hemoglobin
MCHC	Mean Corpuscular Hemoglobin Concentration
MCV	Anti-Mutated Citrullinated Vimentin
MCV	Mean Corpuscular Volume
MDA-5-Ab	Anti-melanoma differentiation-associated protein 5 antibody
MDA5-Ab	Anti-melanoma differentiation-associated gene 5 antibody
MHM - IgG+IgA	Mixed Heavy Metals IgG+IgA
MHM-IgM	Mixed Heavy Metals IgM
MID%	Intermediate Cell Percentage
MONO%	Monocyte Percentage
MP	Myocardial Peptide
MPV	Mean Platelet Volume
MUFA	Total Monounsaturated Fatty Acid
Mb	Myoglobin
MetHb	Methemoglobin
Mi-2α-Ab	Anti-Mi-2α antibody
Mi-2β-Ab	Anti-Mi-2β antibody
Mid#	Intermediate Cell Absolute Value
Mn	Manganese
Mo	Molybdenum
Mono#	Monocyte Absolute Value
N1 睡眠潜伏期（分钟）	Sleep Latency N1 [m]
N2 睡眠潜伏期（分钟）	Sleep LatencyN2[m]
NA	Nervonic 24:1n9
NA	Norepinephrine
NBAP	Bone Alk. Phosphatase
NEUT%	Neutrophil Percentage
NGP - A - IgA	Non-Gluten Proteins A IgA
NGP - A - IgG	Non-Gluten Proteins A IgG
NGP - B - IgA	Non-Gluten Proteins B IgA
NGP - B - IgG	Non-Gluten Proteins B IgG
NLR	Neutrophil-to-Lymphocyte Ratio
NMP22	Nuclear Matrix Protein-22
NPY	Neuropeptide Y
NRBC#	Absolute value of nucleated red blood cells
NRBC%	Nucleated Red Blood Cell Percentage
NSE	Neuron-Specific Enolase
NV	Norovirus
NXP-2-Ab	Anti-NXP-2 (P140) antibody
NX蛋白家族成员2抗体	Nuclear Matrix Protein 2 Antibodies
Na+	Sodium
Neut#	Neutrophil Absolute Value
N端中分子片段骨钙素	N-MID osteocalcin
O. formigenes	Oxalobacter formigenes
OA	Oleic 18:1n9
OA	Oleic Acid
OC	Osteocalcin
OC	Osteocyte
Ocln/Zon - IgA	Occludin/Zonulin IgA
Ocln/Zon - IgG	Occludin/Zonulin IgG
Ocln/Zon - IgM	Occludin/Zonulin IgM
Odo. spp	Odoribacter spp
Ov/Tes	Ovary/Testis
P-III-NP	Procollagen III N-Terminal Peptide
P-LCR	platelet large cell ratio
P. spp	Paragonimus spp.
P. spp.	Pseudoflavonifractor spp.
P/Q型钙通道抗体	P/Q-Type Calcium Channel Ab
PA	Prealbumin
PA Ab	Pseudomonas aeruginosa Antibody
PATH	Pathological Casts
PB-IgG+IgA	Parabens IgG+IgA
PB-IgM	Parabens IgM
PC	Protein C
PC + ATPase	Parietal Cell + ATPase
PCA-1	Anti - Purkinje cell antibody type 1
PCA-1	Purkinje Cell Antibody Type 1
PCA-1抗体	Purkinje Cell Antibody Type 1
PCA-2	Anti - Purkinje cell antibody type 2
PCA-2	Purkinje Cell Antibody Type 2
PCA-2抗体	Purkinje Cell Antibody Type 2
PCA-3	Anti - Purkinje cell antibody type 3
PCA-Tr	Purkinje Cell Antibody-Tr
PCA-Tr抗体	Purkinje Cell Antibody-Tr
PCE-IgG+IgA	Tetrachloroethylene IgG+IgA
PCE-IgM	Tetrachloroethylene IgM
PCO2	Partial Pressure of Carbon Dioxide
PCO2(T)	Temperature-Corrected Partial Pressure of Carbon Dioxide
PCT	Platelet crit
PCT	Procalcitonin
PDW	Platelet Distribution Width
PE1	Pancreatic Elastase 1 †
PG	Platelet Glycoprotein
PGD2	Prostaglandin D2
PGI	Pepsinogen I
PGI/II	Pepsinogen I/II Ratio
PGII	Pepsinogen II
PH	PH Value
PH值	PH Value
PINP	N-terminal peptide of type I procollagen
PIP	Proline Iminopeptidase
PIVKA-II	Abnormal Prothrombin
PL-12 Ab	Prolyl-tRNA synthetase antibody
PL-12-Ab	Anti-PL-12 antibody
PL-7 Ab	Threonyl-tRNA synthetase antibody
PL-7-Ab	Anti-PL-7 antibody
PLG	Plasminogen
PLT	Platelet count
PM/Scl-100-Ab	Anti-PM/Scl-100 antibody
PM/Scl-75-Ab	Anti-PM/Scl-75 antibody
PMG	Glyphosate
PO2	Partial Pressure of Oxygen
PO4^3-	Phosphate
POA	Palmitoleic
PPB	Products of Protein Breakdown (Total）
PRL	Prolactin
PS	Protein S
PSA	Prostate Specific Antigen
PSAV	Prostate-Specific Antigen Velocity
PT	prothrombin time
PT-CON	Activated Partial Thromboplastin Time Control
PTA	Prothrombin Time Activity
PTH	Parathyroid Hormone
PTR	Prothrombin Time Ratio
PTT	partial thromboplastin time
PUFA	Total Polyunsaturated Fatty Acid
Pb	Lead
Pr%	Propionate %
Prev. spp	Prevotella spp
Pro-BNP	Pro-B-Type Natriuretic Peptide
ProGRP	Progastrin-releasing peptide
Pv	Phocaeicola vulgatus
R. bromii	Ruminococcus bromii
R. spp.	Roseburia spp.
RBC	Red Blood Cells
RBCI	Red Blood Cell Information
RDW	Red blood cell distribution width
RDW-CV	Red blood cell distribution width - coefficient of variation
RDW-SD	Red Cell Distribution Width-Standard Deviation
RF	Rheumatoid Factor
RLP-C	Remnant-Like Lipoprotein Cholesterol
RSV A型抗原	Respiratory Syncytial Virus Type A Antigen
RSV B型抗原	Respiratory Syncytial Virus Type B Antigen
Ri	Anti - neuronal nuclear antibody type 2
Ro52-Ab	Anti-Ro52 antibody
S. aureus	Staphylococcus aureus
S. spp	Schistosoma spp.
S. spp.	Salmonella spp.
S. sterc	Strongyloides stercoralis
SAA	Serum Amyloid A
SBE	Standard base excess
SCCA	Squamous Cell Carcinoma Antigen
SCFA	Short-Chain Fatty Acids (SCFA) (Total*) (Acetate, n-Butyrate, Propionate)
SCL-70-Ab	Anti-SCL-70 antibody
SFA	Total Saturated Fatty Acid
SGA	Sialyl Lewis X Antigen
SHBG	Sex Hormone - Binding Globulin
SRC	Small Round Epithelial Cells
SRP-Ab	Anti-SRP antibody
SS-A	Sjögren's Syndrome Antigen A
SS-B	Sjögren's Syndrome Antigen B
Scl-70	Scleroderma-70 Antibodies
Se	Selenium
Sh. spp.	Shigella spp.
Sm	Smith Antigen
Sm/RNP	Smith/Ribonucleoprotein Antibodies
Sm/RNP抗体	Smith/Ribonucleoprotein Antibodies
SpO2	Oxygen Saturation
Syn	Synapsin
T	Testosterone
T Cells	T Lymphocytes
T 淋巴细胞绝对计数	Absolute T Lymphocyte Count
T 细胞 / B 细胞比值	T Cell/B Cell Ratio
T 细胞百分比	% T Cell
T. trichi	Trichuris trichiura
T/B ratio	T Cell/B Cell Ratio
T3	Triiodothyronine
T4	Thyroxine
TBBPA - IgG+IgA	Tetrabromobisphenol A IgG+IgA
TBBPA-IgM	Tetrabromobisphenol A IgM
TBC	Total B Cell
TBG	Thyroxine-binding Globulin
TBil	Bilirubin Total
TBil	Total Bilirubin
TC	Total Carnitine
TC	Total Cholesterol
TCO2(B)	Total carbon dioxide (B)
TCT(CD8)C	Total Cytotoxic (CD8) T Cell
TCTNKC	Total Cytotoxic NK cells
TE	Total Estrogen
TG	Thyroglobulin
TG2 - IgA	Transglutaminase-2 IgA
TG2 - IgG	Transglutaminase-2 IgG
TG3 - IgA	Transglutaminase-3 IgA
TG3 - IgG	Transglutaminase-3 IgG
TG6 - IgA	Transglutaminase-6 IgA
TG6 - IgG	Transglutaminase-6 IgG
TGAb	Thyroglobulin Antibodies
TH1/TH2 ratio	TH1/TH2 Ratio
TH1/TH2 比值	TH1/TH2 Ratio
TIBC	Total Iron Binding Capacity
TIF1 - γ Ab	TIF1-γ
TK值	Thrombelastography K Value
TLC	Total Lymphocyte
TM	Tropomyosin
TMA&PA - IgG+IgA	Trimellitic and Phthalic Anhydrides IgG+IgA
TMA&PA - IgM	Trimellitic and Phthalic Anhydrides IgM
TNF-α	Tumor Necrosis Factor-Alpha
TNKC	Total NK Cell
TNKT	Total NKT
TPO - IgG	Thyroid Peroxidase IgG
TPO Ab	Anti-thyroid peroxidase antibody
TPOAb	Thyroid Peroxidase Antibodies
TPS	Tissue Polypeptide-Specific Antigen
TRAb	Thyroid Stimulating Hormone Receptor Antibodies
TRF	Fecal transferrin
TRF	Transferrin
TRH	Thyrotropin-Releasing Hormone
TRTC	Total Regulatory T Cell
TSH	Thyroid Stimulating Hormone
TT	Thrombin Time
TT-CON	Thrombin Time Control
TT3	Total Triiodothyronine
TT4	Total Thyroxine
TTC	Total T Cell
TTH(CD4)C	Total T-Helper (CD4) Cell
TTH17C	Total T-Helper-17
TTH1C	Total T-Helper-1 Cell
TTH2C	Total T-Helper-2 Cell
Taenia	Taenia spp.
Tg - IgG	Thyroglobulin IgG
Th17/Treg ratio	Th17/Treg Ratio
ToxoIgG	Toxoplasma gondii IgG antibody
ToxoIgM	Toxoplasma gondii IgM antibody
Trich	Trichomonads (e.g. Pentatrichomonas)
